59,9,-9
60,11,-9
60,11,-10
58,12,-9
59,12,-11
61,11,-10
61,11,-8
61,12,-9
62,10,-12
58,10,-11
56,9,-9
57,9,-6
57,8,-6
62,8,-8
65,5,-8
68,5,-8
70,2,-1
64,1,1
61,2,2
60,2,0
57,7,-1
59,4,1
58,3,1
58,2,2
58,3,1
60,4,1
62,4,2
62,4,2
60,4,2
57,4,-1
56,4,-1
57,5,3
58,4,4
60,6,5
70,8,8
71,8,7
64,10,0
61,11,-3
60,11,-3
54,10,-3
55,8,-4
60,5,-2
60,4,-1
63,3,0
64,3,0
64,4,1
60,6,1
59,6,-1
58,7,-2
59,7,0
60,6,1
62,6,2
64,5,1
67,3,1
66,1,2
64,1,3
63,0,2
63,0,2
61,1,1
59,2,-1
58,4,-1
56,7,-2
57,8,-2
56,10,-6
57,9,-5
60,9,-3
65,5,-3
65,4,-6
62,6,-5
58,9,-5
56,11,-4
53,13,-8
56,13,-10
64,10,-9
65,8,-8
63,7,-8
60,8,-9
60,11,-9
60,12,-9
62,13,-9
62,13,-9
61,12,-10
59,12,-10
59,10,-11
61,8,-10
61,7,-10
61,7,-9
59,8,-8
58,9,-9
59,12,-10
59,13,-11
59,14,-12
58,13,-10
57,13,-11
59,12,-10
60,12,-10
62,10,-10
62,8,-9
61,7,-8
58,7,-8
58,8,-8
58,10,-9
58,11,-10
59,12,-10
59,11,-10
59,10,-10
