Phone timestamp;RR-interval [ms]
2021-05-16T08:10:13.626;756
2021-05-16T08:10:14.382;788
2021-05-16T08:10:15.170;792
2021-05-16T08:10:15.962;1670
2021-05-16T08:10:17.632;751
2021-05-16T08:10:18.383;714
2021-05-16T08:10:19.097;707
2021-05-16T08:10:19.804;721
2021-05-16T08:10:20.525;745
2021-05-16T08:10:21.270;811
2021-05-16T08:10:22.081;837
2021-05-16T08:10:22.918;1637
2021-05-16T08:10:24.555;704
2021-05-16T08:10:25.259;1435
2021-05-16T08:10:26.694;708
2021-05-16T08:10:27.402;780
2021-05-16T08:10:28.182;939
2021-05-16T08:10:29.121;954
2021-05-16T08:10:30.075;1751
2021-05-16T08:10:31.826;765
2021-05-16T08:10:32.591;770
2021-05-16T08:10:33.361;783
2021-05-16T08:10:34.144;769
2021-05-16T08:10:34.913;805
2021-05-16T08:10:35.718;1039
2021-05-16T08:10:36.757;1002
2021-05-16T08:10:37.759;1873
2021-05-16T08:10:39.632;802
2021-05-16T08:10:40.434;775
2021-05-16T08:10:41.209;773
2021-05-16T08:10:41.982;786
2021-05-16T08:10:42.768;805
2021-05-16T08:10:43.573;862
2021-05-16T08:10:44.435;1063
2021-05-16T08:10:45.498;1043
2021-05-16T08:10:46.541;1800
2021-05-16T08:10:48.341;761
2021-05-16T08:10:49.102;757
2021-05-16T08:10:49.859;836
2021-05-16T08:10:50.695;788
2021-05-16T08:10:51.483;763
2021-05-16T08:10:52.246;728
2021-05-16T08:10:52.974;703
2021-05-16T08:10:53.677;734
2021-05-16T08:10:54.411;1277
2021-05-16T08:10:55.688;989
2021-05-16T08:10:56.677;875
2021-05-16T08:10:57.552;771
2021-05-16T08:10:58.323;700
2021-05-16T08:10:59.023;685
2021-05-16T08:10:59.708;713
2021-05-16T08:11:00.421;780
2021-05-16T08:11:01.201;755
2021-05-16T08:11:01.956;760
2021-05-16T08:11:02.716;743
2021-05-16T08:11:03.459;711
2021-05-16T08:11:04.170;703
2021-05-16T08:11:04.873;719
2021-05-16T08:11:05.592;769
2021-05-16T08:11:06.361;792
2021-05-16T08:11:07.153;799
2021-05-16T08:11:07.952;781
2021-05-16T08:11:08.733;754
2021-05-16T08:11:09.487;715
2021-05-16T08:11:10.202;705
2021-05-16T08:11:10.907;704
2021-05-16T08:11:11.611;700
2021-05-16T08:11:12.311;723
2021-05-16T08:11:13.034;759
2021-05-16T08:11:13.793;799
2021-05-16T08:11:14.592;786
2021-05-16T08:11:15.378;805
2021-05-16T08:11:16.183;764
2021-05-16T08:11:16.947;744
2021-05-16T08:11:17.691;732
2021-05-16T08:11:18.423;764
2021-05-16T08:11:19.187;778
