Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-05-16T08:09:12.942;674467746906097131;-995;16;-246
2021-05-16T08:09:12.982;674467746945699188;-995;16;-248
2021-05-16T08:09:13.021;674467746985301245;-994;20;-250
2021-05-16T08:09:13.061;674467747024903302;-994;17;-249
2021-05-16T08:09:13.101;674467747064505359;-995;13;-249
2021-05-16T08:09:13.140;674467747104107416;-994;11;-250
2021-05-16T08:09:13.180;674467747143709473;-996;11;-252
2021-05-16T08:09:13.219;674467747183311530;-996;15;-256
2021-05-16T08:09:13.259;674467747222913587;-996;17;-261
2021-05-16T08:09:13.299;674467747262515644;-995;17;-263
2021-05-16T08:09:13.338;674467747302117701;-993;14;-260
2021-05-16T08:09:13.378;674467747341719758;-996;11;-269
2021-05-16T08:09:13.417;674467747381321815;-997;9;-277
2021-05-16T08:09:13.457;674467747420923872;-995;10;-275
2021-05-16T08:09:13.497;674467747460525929;-994;14;-273
2021-05-16T08:09:13.536;674467747500127986;-993;15;-269
2021-05-16T08:09:13.576;674467747539730043;-992;13;-269
2021-05-16T08:09:13.615;674467747579332100;-992;13;-273
2021-05-16T08:09:13.655;674467747618934157;-992;16;-275
2021-05-16T08:09:13.695;674467747658536214;-991;16;-273
2021-05-16T08:09:13.734;674467747698138271;-991;17;-281
2021-05-16T08:09:13.774;674467747737740328;-991;19;-285
2021-05-16T08:09:13.813;674467747777342385;-990;19;-286
2021-05-16T08:09:13.853;674467747816944442;-990;19;-290
2021-05-16T08:09:13.893;674467747856527386;-989;17;-292
2021-05-16T08:09:13.932;674467747896110302;-989;14;-295
2021-05-16T08:09:13.972;674467747935693218;-989;17;-298
2021-05-16T08:09:14.011;674467747975276134;-990;17;-300
2021-05-16T08:09:14.051;674467748014859050;-990;14;-300
2021-05-16T08:09:14.091;674467748054441966;-990;10;-301
2021-05-16T08:09:14.130;674467748094024882;-991;10;-305
2021-05-16T08:09:14.170;674467748133607798;-992;13;-304
2021-05-16T08:09:14.209;674467748173190714;-991;12;-305
2021-05-16T08:09:14.249;674467748212773630;-991;12;-310
2021-05-16T08:09:14.288;674467748252356546;-990;14;-310
2021-05-16T08:09:14.328;674467748291939462;-989;16;-313
2021-05-16T08:09:14.368;674467748331522378;-990;16;-314
2021-05-16T08:09:14.407;674467748371105294;-990;14;-316
2021-05-16T08:09:14.447;674467748410688210;-988;13;-317
2021-05-16T08:09:14.486;674467748450271126;-987;11;-319
2021-05-16T08:09:14.526;674467748489854042;-987;8;-321
2021-05-16T08:09:14.566;674467748529436958;-987;8;-325
2021-05-16T08:09:14.605;674467748569019874;-987;6;-328
2021-05-16T08:09:14.645;674467748608602790;-987;5;-328
2021-05-16T08:09:14.684;674467748648185706;-987;6;-330
2021-05-16T08:09:14.724;674467748687768622;-987;9;-328
2021-05-16T08:09:14.763;674467748727351538;-988;11;-324
2021-05-16T08:09:14.803;674467748766934454;-988;10;-326
2021-05-16T08:09:14.843;674467748806517370;-989;12;-325
2021-05-16T08:09:14.882;674467748846100286;-986;11;-323
2021-05-16T08:09:14.922;674467748885683202;-984;8;-328
